Average_Rating,Brand,Date,Express,Get_It_BY,Link,Name,Price,Rating_count,Sale_price,Sponsered
4.4,RIGID,2024-10-10,,1 HR 24 MINS,https://www.noon.com//uae-en/microfiber-gym-towel-face-towel-yoga-towel-quick-dry-high-absorbent-sweat-towel-for-gym-exercises-and-outdoor-thick-400gsm-75x35cm-grey/Z0BBD9C7C83B7E8DF4FD6Z/p/?o=f433e986d29277cf,"RIGID FITNESS Microfiber Gym Towel - Face Towel, Yoga Towel - Quick Dry & High Absorbent Sweat Towel For Gym Exercises and Outdoor - Thick 400Gsm - 75x35cm-Grey ",45.75,19,,
,URbazaar,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/yoga-mat-for-women-and-men-extra-long-and-wide-exercise-mat-72-x24-large-non-slip-workout-mat-for-yoga-pilates-fitness-barefoot-workouts-home-gym-studio/Z603FF8FD1BFB572D8D9FZ/p/?o=z603ff8fd1bfb572d8d9fz-1,"URbazaar Yoga Mat for Women and Men, Extra Long and Wide Exercise Mat(72""x24""), Large Non Slip Workout Mat for Yoga, Pilates, Fitness, Barefoot Workouts, Home Gym Studio ",59.90,, 69.90,
4.5,Emfil,2024-10-10,Y,12 Oct,https://www.noon.com//uae-en/yoga-mat-blue-62-6cm/N16273364A/p/?o=c80f118bb2e7dccd,Emfil Yoga Mat Blue 62.6cm ,29.50,358, 40,
5.0,Spall,2024-10-10,Y,12 Oct,https://www.noon.com//uae-en/yoga-mat-non-slip-yoga-mat-with-strap-included-10mm-thick-exercise-mat-yoga-and-many-other-home-workouts/ZA3EF4D0BF060CAC7F4CDZ/p/?o=za3ef4d0bf060cac7f4cdz-1,"Spall Yoga Mat Non Slip,Yoga Mat with Strap Included 10mm Thick Exercise Mat Yoga and Many Other Home Workouts ",35,1, 80,
5.0,321,2024-10-10,Y,12 Oct,https://www.noon.com//uae-en/massage-foam-roller/N34146072A/p/?o=a2a03188f88022fc,321 STRONG Massage Foam Roller ,38,17,,
4.2,U-pick,2024-10-10,,"1 HR 24 MINS,1 HR 24 MINS,11 - 12 Oct","https://www.noon.com//uae-en/4-packs-cooling-towel-0-08x39-4x11-4inch/N21462859A/p/?o=e1aa16341fd9ce5e,https://www.noon.com//uae-en/4-packs-cooling-towel-0-08x39-4x11-4inch/N21462859A/p/?o=ae25c1030653795b,https://www.noon.com//uae-en/4-packs-cooling-towel-0-08x39-4x11-4inch/N21462859A/p/?o=e1aa16341fd9ce5e",U-pick 4 Packs Cooling Towel 0.08X39.4X11.4inch ,24.65,84, 30.45,
,YooA,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/3-pair-non-slip-yoga-socks-cotton-pilates-socks-with-straps-breathable-moisture-wicking-machine-washable-ideal-for-yoga-pilates-ballet-dance-workout-pink-black-grey-fit-size-36-42/Z28459E600CA113B6F24FZ/p/?o=z28459e600ca113b6f24fz-1,"YooA 3-Pair Non-slip Yoga Socks, Cotton Pilates Socks with Straps, Breathable&Moisture-wicking&Machine-washable, Ideal for Yoga/Pilates/Ballet/Dance/Workout (Pink+Black+Grey, Fit Size 36-42) ",33.80,, 50,
4.8,SKY-TOUCH,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/5-in-1-fitness-foam-roller-set-50cm/N39265708A/p/?o=a0325ea104099c8d,SKY-TOUCH 5-In-1 Fitness Foam Roller Set 50cm ,64.50,32,,
4.3,Ab,2024-10-10,,1 HR 24 MINS,https://www.noon.com//uae-en/abdominal-trainer-wheel-roller-with-knee-mat/N16273426A/p/?o=d93d6f76441a825a,Ab Rocket Abdominal Trainer Wheel Roller With Knee Mat ,23,358, 24,
,Generic,2024-10-10,,,https://www.noon.com//uae-en/adjustable-anti-gravity-home-aerial-yoga-hammock-swing-trapeze-inversion-tool-250-150cm/N42326497A/p/?o=bb0af8063147934d,Generic Adjustable Anti-Gravity Home Aerial Yoga Hammock Swing Trapeze Inversion Tool 250*150cm ,177.05,, 520,Y
